Product code,Bureau of Meteorology station number,Year,Month,Day,Rainfall amount (millimetres),Period over which rainfall was measured (days),Quality
IDCJAC0009,031063,1999,01,01,10,,
IDCJAC0009,031063,1999,01,02,10,,
IDCJAC0009,031063,1999,01,03,10,,
IDCJAC0009,031063,1999,01,04,10,,
IDCJAC0009,031063,1999,01,05,20,,
IDCJAC0009,031063,1999,01,06,10,,
IDCJAC0009,031063,1999,01,07,10,,
IDCJAC0009,031063,1999,01,08,10,,
IDCJAC0009,031063,1999,01,09,10,,
IDCJAC0009,031063,1999,01,10,10,,
IDCJAC0009,031063,1999,01,11,10,,
IDCJAC0009,031063,1999,01,12,10,,
IDCJAC0009,031063,1999,01,13,10,,
IDCJAC0009,031063,1999,01,14,10,,
IDCJAC0009,031063,1999,01,15,10,,
IDCJAC0009,031063,1999,01,16,10,,
IDCJAC0009,031063,1999,01,17,10,,
IDCJAC0009,031063,1999,01,18,10,,
IDCJAC0009,031063,1999,01,19,10,,
IDCJAC0009,031063,1999,01,20,10,,
IDCJAC0009,031063,1999,01,21,10,,
IDCJAC0009,031063,1999,01,22,10,,
IDCJAC0009,031063,1999,01,23,10,,
IDCJAC0009,031063,1999,01,24,10,,
IDCJAC0009,031063,1999,01,25,10,,
IDCJAC0009,031063,1999,01,26,10,,
IDCJAC0009,031063,1999,01,27,10,,
IDCJAC0009,031063,1999,01,28,10,,
IDCJAC0009,031063,1999,01,29,10,,
IDCJAC0009,031063,1999,01,30,10,,
IDCJAC0009,031063,1999,01,31,10,,
IDCJAC0009,031063,1999,02,1,0,,
